topico,fecha,diario,seccion,freq
copitos,2022-09-01,clarin,buena-vida,0
discurso-de-odio,2022-09-01,clarin,buena-vida,0
copitos,2022-09-01,lanacion,propiedades,0
discurso-de-odio,2022-09-01,lanacion,propiedades,0
copitos,2022-09-01,lanacion,comunidad,0
discurso-de-odio,2022-09-01,lanacion,comunidad,0
copitos,2022-09-01,clarin,ciudades,0
discurso-de-odio,2022-09-01,clarin,ciudades,0
copitos,2022-09-01,ambito,lifestyle,0
discurso-de-odio,2022-09-01,ambito,lifestyle,0
copitos,2022-09-01,clarin,opinion,0
discurso-de-odio,2022-09-01,clarin,opinion,0
copitos,2022-09-02,perfil,politica,0
discurso-de-odio,2022-09-02,perfil,politica,0
copitos,2022-09-01,diariodeleuco,editorial,0
discurso-de-odio,2022-09-01,diariodeleuco,editorial,0
copitos,2022-09-02,perfil,economia,0
discurso-de-odio,2022-09-02,perfil,economia,1
copitos,2022-09-02,perfil,deportes,0
discurso-de-odio,2022-09-02,perfil,deportes,1
copitos,2022-09-02,perfil,espectaculos,0
discurso-de-odio,2022-09-02,perfil,espectaculos,0
copitos,2022-09-02,infobae,internacional,0
discurso-de-odio,2022-09-02,infobae,internacional,17
copitos,2022-09-02,eldestape,politica,0
discurso-de-odio,2022-09-02,eldestape,politica,37
copitos,2022-09-02,infobae,politica,0
discurso-de-odio,2022-09-02,infobae,politica,13
copitos,2022-09-02,infobae,inhouse,0
discurso-de-odio,2022-09-02,infobae,inhouse,0
copitos,2022-09-02,infobae,cultura,0
discurso-de-odio,2022-09-02,infobae,cultura,0
copitos,2022-09-02,infobae,sociedad,0
discurso-de-odio,2022-09-02,infobae,sociedad,3
copitos,2022-09-02,perfil,sociedad,0
discurso-de-odio,2022-09-02,perfil,sociedad,0
copitos,2022-09-02,ambito,politica,0
discurso-de-odio,2022-09-02,ambito,politica,9
copitos,2022-09-02,ambito,economia,0
discurso-de-odio,2022-09-02,ambito,economia,0
copitos,2022-09-02,ambito,sociedad,0
discurso-de-odio,2022-09-02,ambito,sociedad,0
copitos,2022-09-02,ambito,internacional,0
discurso-de-odio,2022-09-02,ambito,internacional,0
copitos,2022-09-02,ambito,finanzas,0
discurso-de-odio,2022-09-02,ambito,finanzas,0
copitos,2022-09-02,ambito,lifestyle,0
discurso-de-odio,2022-09-02,ambito,lifestyle,0
copitos,2022-09-02,ambito,nacional,0
discurso-de-odio,2022-09-02,ambito,nacional,0
copitos,2022-09-02,eldestape,sociedad,0
discurso-de-odio,2022-09-02,eldestape,sociedad,1
copitos,2022-09-02,eldestape,deportes,0
discurso-de-odio,2022-09-02,eldestape,deportes,1
copitos,2022-09-02,eldestape,cultura,0
discurso-de-odio,2022-09-02,eldestape,cultura,17
copitos,2022-09-02,infobae,deportes,0
discurso-de-odio,2022-09-02,infobae,deportes,0
copitos,2022-09-02,infobae,espectaculos,0
discurso-de-odio,2022-09-02,infobae,espectaculos,0
copitos,2022-09-02,todonoticias,politica,0
discurso-de-odio,2022-09-02,todonoticias,politica,7
copitos,2022-09-02,todonoticias,espectaculos,0
discurso-de-odio,2022-09-02,todonoticias,espectaculos,0
copitos,2022-09-02,todonoticias,deportes,0
discurso-de-odio,2022-09-02,todonoticias,deportes,0
copitos,2022-09-02,todonoticias,internacional,0
discurso-de-odio,2022-09-02,todonoticias,internacional,1
copitos,2022-09-02,todonoticias,economia,0
discurso-de-odio,2022-09-02,todonoticias,economia,0
copitos,2022-09-02,eldestape,economia,0
discurso-de-odio,2022-09-02,eldestape,economia,2
copitos,2022-09-02,infobae,tendencias,0
discurso-de-odio,2022-09-02,infobae,tendencias,0
copitos,2022-09-02,infobae,salud,0
discurso-de-odio,2022-09-02,infobae,salud,0
copitos,2022-09-02,infobae,opinion,0
discurso-de-odio,2022-09-02,infobae,opinion,2
copitos,2022-09-02,infobae,economia,0
discurso-de-odio,2022-09-02,infobae,economia,0
copitos,2022-09-02,todonoticias,sociedad,0
discurso-de-odio,2022-09-02,todonoticias,sociedad,0
copitos,2022-09-02,ambito,espectaculos,0
discurso-de-odio,2022-09-02,ambito,espectaculos,6
copitos,2022-09-02,paginadoce,politica,0
discurso-de-odio,2022-09-02,paginadoce,politica,32
copitos,2022-09-02,paginadoce,espectaculos,0
discurso-de-odio,2022-09-02,paginadoce,espectaculos,0
copitos,2022-09-02,clarin,deportes,0
discurso-de-odio,2022-09-02,clarin,deportes,0
copitos,2022-09-02,clarin,economia,0
discurso-de-odio,2022-09-02,clarin,economia,0
copitos,2022-09-02,clarin,politica,0
discurso-de-odio,2022-09-02,clarin,politica,13
copitos,2022-09-02,clarin,ciudades,0
discurso-de-odio,2022-09-02,clarin,ciudades,0
copitos,2022-09-02,clarin,opinion,0
discurso-de-odio,2022-09-02,clarin,opinion,1
copitos,2022-09-01,clarin,cartas-al-pais,0
discurso-de-odio,2022-09-01,clarin,cartas-al-pais,0
copitos,2022-09-02,todonoticias,musica,0
discurso-de-odio,2022-09-02,todonoticias,musica,0
copitos,2022-09-02,todonoticias,tecno,0
discurso-de-odio,2022-09-02,todonoticias,tecno,0
copitos,2022-09-02,diariodeleuco,todo,0
discurso-de-odio,2022-09-02,diariodeleuco,todo,1
copitos,2022-09-01,clarin,viajes,0
discurso-de-odio,2022-09-01,clarin,viajes,0
copitos,2022-09-02,todonoticias,estilo,0
discurso-de-odio,2022-09-02,todonoticias,estilo,0
copitos,2022-09-02,paginadoce,sociedad,0
discurso-de-odio,2022-09-02,paginadoce,sociedad,3
copitos,2022-09-02,todonoticias,salud,0
